State,District,DistrictType,Indicators,Urban,Rural,Total
Madhya Pradesh,Dhar,Rural,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),NA,34.8,27.2
Madhya Pradesh,Dhar,Rural,Women who are overweight or obese (BMI 䊫 25.0 kg/m2)14 (%),NA,8.9,12.1
Madhya Pradesh,Dhar,Rural,Men who are overweight or obese (BMI 䊫 25.0 kg/m2) (%),NA,10,12.7
Madhya Pradesh,Dhar,Rural,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),NA,76.7,75.3
Madhya Pradesh,Dhar,Rural,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),NA,57.1,55.6
Madhya Pradesh,Dhar,Rural,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),NA,63.3,63.7
Madhya Pradesh,Dhar,Rural,All women age 15-49 years who are anaemic (%),NA,57.5,56.2
Madhya Pradesh,Dhar,Rural,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),NA,26.4,20.5
Madhya Pradesh,Dhar,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,4.5,4.9
Madhya Pradesh,Dhar,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,1.7,2.1
Madhya Pradesh,Dhar,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,4.9,3.8
Madhya Pradesh,Dhar,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,3.6,2.9
Madhya Pradesh,Dhar,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,7,7.2
Madhya Pradesh,Dhar,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,1.7,1.5
Madhya Pradesh,Dhar,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0.6,0.5
Madhya Pradesh,Dhar,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,7.5,5.6
Madhya Pradesh,Dhar,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,2.9,2
Madhya Pradesh,Dhar,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,3.2,2.6
Madhya Pradesh,Dhar,Rural,Cervix (%),NA,43.4,43.4
Madhya Pradesh,Dhar,Rural,Breast (%),NA,23.6,21.7
Madhya Pradesh,Dhar,Rural,Oral cavity (%),NA,22.6,22.8
Madhya Pradesh,Dindori,Rural,Population (female) age 6 years and above who ever attended school (%),NA,58.4,59.4
Madhya Pradesh,Dindori,Rural,Population below age 15 years (%),NA,31.9,31.5
Madhya Pradesh,Dindori,Rural,"Sex ratio of the total population (females per 1,000 males)",NA,"1,012","1,004"
Madhya Pradesh,Dindori,Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",NA,891,889
Madhya Pradesh,Dindori,Rural,Children under age 5 years whose birth was registered (%),NA,79.5,80
Madhya Pradesh,Dindori,Rural,Households with electricity (%),NA,72.7,73.4
Madhya Pradesh,Dindori,Rural,Households with an improved drinking-water source1 (%),NA,69.8,71.3
Madhya Pradesh,Dindori,Rural,Households using improved sanitation facility2 (%),NA,5,6.9
Madhya Pradesh,Dindori,Rural,Households using clean fuel for cooking3 (%),NA,1.9,4
Madhya Pradesh,Dindori,Rural,Households using iodized salt (%),NA,78.1,78.9
Madhya Pradesh,Dindori,Rural,Households with any usual member covered by a health scheme or health insurance (%),NA,36.1,35.6
Madhya Pradesh,Dindori,Rural,Women who are literate (%),NA,49.5,50.7
Madhya Pradesh,Dindori,Rural,Men who are literate (%),NA,78.2,77.6
Madhya Pradesh,Dindori,Rural,Women with 10 or more years of schooling (%),NA,11.9,13.6
Madhya Pradesh,Dindori,Rural,Women age 20-24 years married before age 18 years (%),NA,36.1,34.9
Madhya Pradesh,Dindori,Rural,Men age 25-29 years married before age 21 years (%),NA,53.3,45.5
Madhya Pradesh,Dindori,Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),NA,10.1,10.3
Madhya Pradesh,Dindori,Rural,Any method4 (%),NA,67.5,66.8
Madhya Pradesh,Dindori,Rural,Any modern method4 (%),NA,64.2,63
Madhya Pradesh,Dindori,Rural,Female sterilization (%),NA,62.3,61.2
Madhya Pradesh,Dindori,Rural,Male sterilization (%),NA,1,0.9
Madhya Pradesh,Dindori,Rural,IUD/PPIUD (%),NA,0.4,0.4
Madhya Pradesh,Dindori,Rural,Pill (%),NA,0.1,0.1
Madhya Pradesh,Dindori,Rural,Condom (%),NA,0.4,0.4
Madhya Pradesh,Dindori,Rural,Total unmet need (%),NA,7.3,7.9
Madhya Pradesh,Dindori,Rural,Unmet need for spacing (%),NA,3.6,3.6
Madhya Pradesh,Dindori,Rural,Health worker ever talked to female non-users about family planning (%),NA,17.8,16.7
Madhya Pradesh,Dindori,Rural,Current users ever told about side effects of current method6 (%),NA,25.2,26
Madhya Pradesh,Dindori,Rural,Mothers who had antenatal check-up in the first trimester (%),NA,44.3,44.9
Madhya Pradesh,Dindori,Rural,Mothers who had at least 4 antenatal care visits (%),NA,22,23.5
Madhya Pradesh,Dindori,Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),NA,88.6,89.1
Madhya Pradesh,Dindori,Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),NA,16.8,18.9
Madhya Pradesh,Dindori,Rural,Mothers who had full antenatal care8 (%),NA,3.6,5.1
Madhya Pradesh,Dindori,Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),NA,89.2,89.8
Madhya Pradesh,Dindori,Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),NA,44.1,45.1
Madhya Pradesh,Dindori,Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),NA,75.8,73.9
Madhya Pradesh,Dindori,Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),NA,552,582
Madhya Pradesh,Dindori,Rural,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),NA,1.7,1.6
Madhya Pradesh,Dindori,Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),NA,14.7,15.4
Madhya Pradesh,Dindori,Rural,Institutional births (%),NA,54.7,55.8
Madhya Pradesh,Dindori,Rural,Institutional births in public facility (%),NA,53.3,53.4
Madhya Pradesh,Dindori,Rural,Home delivery conducted by skilled health personnel (out of total deliveries) (%),NA,4.2,4.4
Madhya Pradesh,Dindori,Rural,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),NA,52.6,54.1
Madhya Pradesh,Dindori,Rural,Births delivered by caesarean section (%),NA,1.1,1.1
Madhya Pradesh,Dindori,Rural,Births in a private health facility delivered by caesarean section (%),NA,*,*
Madhya Pradesh,Dindori,Rural,Births in a public health facility delivered by caesarean section (%),NA,1,1
Madhya Pradesh,Dindori,Rural,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",NA,48.5,49.4
Madhya Pradesh,Dindori,Rural,Children age 12-23 months who have received BCG (%),NA,97.2,97.3
Madhya Pradesh,Dindori,Rural,Children age 12-23 months who have received 3 doses of polio vaccine (%),NA,66.1,66.7
Madhya Pradesh,Dindori,Rural,Children age 12-23 months who have received 3 doses of DPT vaccine (%),NA,70.7,71.3
Madhya Pradesh,Dindori,Rural,Children age 12-23 months who have received measles vaccine (%),NA,85,85.3
Madhya Pradesh,Dindori,Rural,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),NA,52.8,53.7
Madhya Pradesh,Dindori,Rural,Children age 9-59 months who received a vitamin A dose in last 6 months (%),NA,59.6,58.7
Madhya Pradesh,Dindori,Rural,Children age 12-23 months who received most of the vaccinations in public health facility (%),NA,100,100
Madhya Pradesh,Dindori,Rural,Children age 12-23 months who received most of the vaccinations in private health facility (%),NA,0,0
Madhya Pradesh,Dindori,Rural,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),NA,11.4,12.4
Madhya Pradesh,Dindori,Rural,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),NA,59.3,55.3
Madhya Pradesh,Dindori,Rural,Children with diarrhoea in the last 2 weeks who received zinc (%),NA,17.7,15.6
Madhya Pradesh,Dindori,Rural,Children with diarrhoea in the last 2 weeks taken to a health facility (%),NA,58.2,57.3
Madhya Pradesh,Dindori,Rural,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),NA,1.6,1.9
Madhya Pradesh,Dindori,Rural,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),NA,55.3,55.9
Madhya Pradesh,Dindori,Rural,Children under age 3 years breastfed within one hour of birth9 (%),NA,38,36.8
Madhya Pradesh,Dindori,Rural,Children under age 6 months exclusively breastfed10 (%),NA,35,35.5
Madhya Pradesh,Dindori,Rural,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),NA,*,*
Madhya Pradesh,Dindori,Rural,"Breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,2,1.9
Madhya Pradesh,Dindori,Rural,"Non-breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,*,*
Madhya Pradesh,Dindori,Rural,"Total children age 6-23 months receiving an adequate diet10,11 (%)",NA,1.9,1.8
Madhya Pradesh,Dindori,Rural,Children under 5 years who are stunted (height-for-age)12 (%),NA,46.9,45.8
Madhya Pradesh,Dindori,Rural,Children under 5 years who are wasted (weight-for-height)12 (%),NA,27.8,27.4
Madhya Pradesh,Dindori,Rural,Children under 5 years who are severely wasted (weight-for-height)13 (%),NA,11,10.5
Madhya Pradesh,Dindori,Rural,Children under 5 years who are underweight (weight-for-age)12 (%),NA,48,46.6
Madhya Pradesh,Dindori,Rural,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),NA,36.2,35.8
Madhya Pradesh,Dindori,Rural,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),NA,26.3,24.3
Madhya Pradesh,Dindori,Rural,Women who are overweight or obese (BMI 䊫 25.0 kg/m2)14 (%),NA,4,4.8
Madhya Pradesh,Dindori,Rural,Men who are overweight or obese (BMI 䊫 25.0 kg/m2) (%),NA,5,4.5
Madhya Pradesh,Dindori,Rural,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),NA,66.6,66.5
Madhya Pradesh,Dindori,Rural,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),NA,67.8,66.8
Madhya Pradesh,Dindori,Rural,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),NA,61.1,59.3
Madhya Pradesh,Dindori,Rural,All women age 15-49 years who are anaemic (%),NA,67.5,66.5
Madhya Pradesh,Dindori,Rural,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),NA,42.2,39.5
Madhya Pradesh,Dindori,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,5.5,5.4
Madhya Pradesh,Dindori,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,2.2,2.1
Madhya Pradesh,Dindori,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,7.5,6.7
Madhya Pradesh,Dindori,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,3.3,3
Madhya Pradesh,Dindori,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,7.7,7.5
Madhya Pradesh,Dindori,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,1.4,1.5
Madhya Pradesh,Dindori,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0.8,0.8
Madhya Pradesh,Dindori,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,6.5,7.8
Madhya Pradesh,Dindori,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,2.5,2.3
Madhya Pradesh,Dindori,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0.7,0.6
Madhya Pradesh,Dindori,Rural,Cervix (%),NA,1.7,1.8
Madhya Pradesh,Dindori,Rural,Breast (%),NA,4.6,4.4
Madhya Pradesh,Dindori,Rural,Oral cavity (%),NA,4.6,4.4
Madhya Pradesh,Guna,Rural,Population (female) age 6 years and above who ever attended school (%),NA,52.6,57.8
Madhya Pradesh,Guna,Rural,Population below age 15 years (%),NA,32.9,32.2
Madhya Pradesh,Guna,Rural,"Sex ratio of the total population (females per 1,000 males)",NA,912,916
Madhya Pradesh,Guna,Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",NA,"1,006","1,011"
Madhya Pradesh,Guna,Rural,Children under age 5 years whose birth was registered (%),NA,89.7,91.6
Madhya Pradesh,Guna,Rural,Households with electricity (%),NA,90.8,93.1
Madhya Pradesh,Guna,Rural,Households with an improved drinking-water source1 (%),NA,77.1,82.9
Madhya Pradesh,Guna,Rural,Households using improved sanitation facility2 (%),NA,15.6,27.9
Madhya Pradesh,Guna,Rural,Households using clean fuel for cooking3 (%),NA,6.6,23.2
Madhya Pradesh,Guna,Rural,Households using iodized salt (%),NA,91.2,93.2
Madhya Pradesh,Guna,Rural,Households with any usual member covered by a health scheme or health insurance (%),NA,12.4,16.5
Madhya Pradesh,Guna,Rural,Women who are literate (%),NA,36.1,44.6
Madhya Pradesh,Guna,Rural,Men who are literate (%),NA,74.1,80.2
Madhya Pradesh,Guna,Rural,Women with 10 or more years of schooling (%),NA,9.7,16.5
Madhya Pradesh,Guna,Rural,Women age 20-24 years married before age 18 years (%),NA,35.8,29.8
Madhya Pradesh,Guna,Rural,Men age 25-29 years married before age 21 years (%),NA,28.9,26.1
Madhya Pradesh,Guna,Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),NA,11.3,9.7
Madhya Pradesh,Guna,Rural,Any method4 (%),NA,60.3,60.9
Madhya Pradesh,Guna,Rural,Any modern method4 (%),NA,59,59.4
Madhya Pradesh,Guna,Rural,Female sterilization (%),NA,52.7,48.7
Madhya Pradesh,Guna,Rural,Male sterilization (%),NA,0.1,0.2
Madhya Pradesh,Guna,Rural,IUD/PPIUD (%),NA,0.1,0.2
Madhya Pradesh,Guna,Rural,Pill (%),NA,1.3,2.1
Madhya Pradesh,Guna,Rural,Condom (%),NA,3.5,7.3
Madhya Pradesh,Guna,Rural,Total unmet need (%),NA,10.5,10.7
Madhya Pradesh,Guna,Rural,Unmet need for spacing (%),NA,5.9,6.1
Madhya Pradesh,Guna,Rural,Health worker ever talked to female non-users about family planning (%),NA,45.1,39.7
Madhya Pradesh,Guna,Rural,Current users ever told about side effects of current method6 (%),NA,54.3,52.6
Madhya Pradesh,Guna,Rural,Mothers who had antenatal check-up in the first trimester (%),NA,58,60.7
Madhya Pradesh,Guna,Rural,Mothers who had at least 4 antenatal care visits (%),NA,31.4,31.9
Madhya Pradesh,Guna,Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),NA,94.9,95.9
Madhya Pradesh,Guna,Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),NA,20,21.2
Madhya Pradesh,Guna,Rural,Mothers who had full antenatal care8 (%),NA,8.6,8.4
Madhya Pradesh,Guna,Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),NA,91.9,93.2
Madhya Pradesh,Guna,Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),NA,54.3,57.2
Madhya Pradesh,Guna,Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),NA,76,76.7
Madhya Pradesh,Guna,Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),NA,"1,120","1,044"
Madhya Pradesh,Guna,Rural,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),NA,3.3,3.2
Madhya Pradesh,Guna,Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),NA,15.3,18.1
Madhya Pradesh,Guna,Rural,Institutional births (%),NA,87.6,90.1
Madhya Pradesh,Guna,Rural,Institutional births in public facility (%),NA,83.6,86.1
Madhya Pradesh,Guna,Rural,Home delivery conducted by skilled health personnel (out of total deliveries) (%),NA,1.4,1
Madhya Pradesh,Guna,Rural,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),NA,87.9,90.4
Madhya Pradesh,Guna,Rural,Births delivered by caesarean section (%),NA,3.5,3.9
Madhya Pradesh,Guna,Rural,Births in a private health facility delivered by caesarean section (%),NA,*,*
Madhya Pradesh,Guna,Rural,Births in a public health facility delivered by caesarean section (%),NA,2.9,3.2
Madhya Pradesh,Guna,Rural,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",NA,61.3,65.1
Madhya Pradesh,Guna,Rural,Children age 12-23 months who have received BCG (%),NA,94.4,94.9
Madhya Pradesh,Guna,Rural,Children age 12-23 months who have received 3 doses of polio vaccine (%),NA,70.8,73.2
Madhya Pradesh,Guna,Rural,Children age 12-23 months who have received 3 doses of DPT vaccine (%),NA,69.8,73.4
Madhya Pradesh,Guna,Rural,Children age 12-23 months who have received measles vaccine (%),NA,78.4,80.7
Madhya Pradesh,Guna,Rural,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),NA,57.8,64.4
Madhya Pradesh,Guna,Rural,Children age 9-59 months who received a vitamin A dose in last 6 months (%),NA,57.6,59.9
Madhya Pradesh,Guna,Rural,Children age 12-23 months who received most of the vaccinations in public health facility (%),NA,98.5,98.8
Madhya Pradesh,Guna,Rural,Children age 12-23 months who received most of the vaccinations in private health facility (%),NA,0,0
Madhya Pradesh,Guna,Rural,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),NA,9.8,10.6
Madhya Pradesh,Guna,Rural,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),NA,54.6,50.6
Madhya Pradesh,Guna,Rural,Children with diarrhoea in the last 2 weeks who received zinc (%),NA,34.1,24.1
Madhya Pradesh,Guna,Rural,Children with diarrhoea in the last 2 weeks taken to a health facility (%),NA,74.7,73.8
Madhya Pradesh,Guna,Rural,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),NA,1,0.8
Madhya Pradesh,Guna,Rural,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),NA,76,75.2
Madhya Pradesh,Guna,Rural,Children under age 3 years breastfed within one hour of birth9 (%),NA,45.1,41
Madhya Pradesh,Guna,Rural,Children under age 6 months exclusively breastfed10 (%),NA,51.6,52.5
Madhya Pradesh,Guna,Rural,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),NA,*,16.8
Madhya Pradesh,Guna,Rural,"Breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,1.7,2.1
Madhya Pradesh,Guna,Rural,"Non-breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,*,*
Madhya Pradesh,Guna,Rural,"Total children age 6-23 months receiving an adequate diet10,11 (%)",NA,3.2,3
Madhya Pradesh,Guna,Rural,Children under 5 years who are stunted (height-for-age)12 (%),NA,42.7,43.4
Madhya Pradesh,Guna,Rural,Children under 5 years who are wasted (weight-for-height)12 (%),NA,34.1,33
Madhya Pradesh,Guna,Rural,Children under 5 years who are severely wasted (weight-for-height)13 (%),NA,12.1,12.1
Madhya Pradesh,Guna,Rural,Children under 5 years who are underweight (weight-for-age)12 (%),NA,51.9,51.2
Madhya Pradesh,Guna,Rural,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),NA,37.2,34.2
Madhya Pradesh,Guna,Rural,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),NA,44.7,39
Madhya Pradesh,Guna,Rural,Women who are overweight or obese (BMI 䊫 25.0 kg/m2)14 (%),NA,6.8,10.9
Madhya Pradesh,Guna,Rural,Men who are overweight or obese (BMI 䊫 25.0 kg/m2) (%),NA,4.3,5.8
Madhya Pradesh,Guna,Rural,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),NA,68,67.4
Madhya Pradesh,Guna,Rural,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),NA,44.2,45.6
Madhya Pradesh,Guna,Rural,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),NA,55,55
Madhya Pradesh,Guna,Rural,All women age 15-49 years who are anaemic (%),NA,45,46.2
Madhya Pradesh,Guna,Rural,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),NA,17.3,17
Madhya Pradesh,Guna,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,1.8,2.8
Madhya Pradesh,Guna,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,0.9,1.4
Madhya Pradesh,Guna,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,1.9,3
Madhya Pradesh,Guna,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,1.9,1.4
Madhya Pradesh,Guna,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,4.8,5.5
Madhya Pradesh,Guna,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,1,1.1
Madhya Pradesh,Guna,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0.6,0.5
Madhya Pradesh,Guna,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,6.7,6.8
Madhya Pradesh,Guna,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,1.2,0.8
Madhya Pradesh,Guna,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0,0.4
Madhya Pradesh,Guna,Rural,Cervix (%),NA,55,54.2
Madhya Pradesh,Guna,Rural,Breast (%),NA,27.3,30.9
Madhya Pradesh,Guna,Rural,Oral cavity (%),NA,17.3,21.3
Madhya Pradesh,Gwalior,Urban Rural,Population (female) age 6 years and above who ever attended school (%),75.9,54.6,68.8
Madhya Pradesh,Gwalior,Urban Rural,Population below age 15 years (%),26.4,31.5,28.1
Madhya Pradesh,Gwalior,Urban Rural,"Sex ratio of the total population (females per 1,000 males)",902,860,887
Madhya Pradesh,Gwalior,Urban Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",833,899,858
Madhya Pradesh,Gwalior,Urban Rural,Children under age 5 years whose birth was registered (%),89.4,74.3,83.5
Madhya Pradesh,Gwalior,Urban Rural,Households with electricity (%),99,88.5,95.5
Madhya Pradesh,Gwalior,Urban Rural,Households with an improved drinking-water source1 (%),98.9,93.6,97.1
Madhya Pradesh,Gwalior,Urban Rural,Households using improved sanitation facility2 (%),69.2,30.1,56.2
Madhya Pradesh,Gwalior,Urban Rural,Households using clean fuel for cooking3 (%),79.4,12.9,57.3
Madhya Pradesh,Gwalior,Urban Rural,Households using iodized salt (%),98.7,95.4,97.6
Madhya Pradesh,Gwalior,Urban Rural,Households with any usual member covered by a health scheme or health insurance (%),16.3,15.2,15.9
Madhya Pradesh,Gwalior,Urban Rural,Women who are literate (%),76.2,47.5,67.1
Madhya Pradesh,Gwalior,Urban Rural,Men who are literate (%),85.5,75.9,82
Madhya Pradesh,Gwalior,Urban Rural,Women with 10 or more years of schooling (%),42.8,10.8,32.6
Madhya Pradesh,Gwalior,Urban Rural,Women age 20-24 years married before age 18 years (%),10.3,37.4,19.4
Madhya Pradesh,Gwalior,Urban Rural,Men age 25-29 years married before age 21 years (%),8.7,35.9,19.5
Madhya Pradesh,Gwalior,Urban Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.5,8.6,3.8
Madhya Pradesh,Gwalior,Urban Rural,Any method4 (%),51.1,45.5,49.2
Madhya Pradesh,Gwalior,Urban Rural,Any modern method4 (%),48.2,44,46.7
Madhya Pradesh,Gwalior,Urban Rural,Female sterilization (%),31.5,37.8,33.7
Madhya Pradesh,Gwalior,Urban Rural,Male sterilization (%),0.2,0,0.1
Madhya Pradesh,Gwalior,Urban Rural,IUD/PPIUD (%),0.8,0.1,0.6
Madhya Pradesh,Gwalior,Urban Rural,Pill (%),1.8,1.1,1.6
Madhya Pradesh,Gwalior,Urban Rural,Condom (%),13.4,4.6,10.3
Madhya Pradesh,Gwalior,Urban Rural,Total unmet need (%),12,12,12
Madhya Pradesh,Gwalior,Urban Rural,Unmet need for spacing (%),3.9,5.7,4.5
Madhya Pradesh,Gwalior,Urban Rural,Health worker ever talked to female non-users about family planning (%),25.9,24.1,25.3
Madhya Pradesh,Gwalior,Urban Rural,Current users ever told about side effects of current method6 (%),55.1,51.2,53.4
Madhya Pradesh,Gwalior,Urban Rural,Mothers who had antenatal check-up in the first trimester (%),56.5,48.9,53.8
Madhya Pradesh,Gwalior,Urban Rural,Mothers who had at least 4 antenatal care visits (%),43,24.8,36.4
Madhya Pradesh,Gwalior,Urban Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),94.7,93,94.1
Madhya Pradesh,Gwalior,Urban Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),36.1,28.3,33.3
Madhya Pradesh,Gwalior,Urban Rural,Mothers who had full antenatal care8 (%),17.1,10.3,14.6
Madhya Pradesh,Gwalior,Urban Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),93,88.7,91.5
Madhya Pradesh,Gwalior,Urban Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),76.4,55.5,68.9
Madhya Pradesh,Gwalior,Urban Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),51.9,66,56.4
Madhya Pradesh,Gwalior,Urban Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),"1,846","1,256","1,623"
Madhya Pradesh,Gwalior,Urban Rural,(%),*,1.4,7.7
Madhya Pradesh,Gwalior,Urban Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),20,17.8,19.2
Madhya Pradesh,Gwalior,Urban Rural,Institutional births (%),93.8,79.3,88
Madhya Pradesh,Gwalior,Urban Rural,Institutional births in public facility (%),66.6,71,68.4
Madhya Pradesh,Gwalior,Urban Rural,Home delivery conducted by skilled health personnel (out of total deliveries) (%),2.2,3,2.5
Madhya Pradesh,Gwalior,Urban Rural,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),94.7,81.7,89.5
Madhya Pradesh,Gwalior,Urban Rural,Births delivered by caesarean section (%),21.4,5.7,15.2
Madhya Pradesh,Gwalior,Urban Rural,Births in a private health facility delivered by caesarean section (%),48.8,45,48.2
Madhya Pradesh,Gwalior,Urban Rural,Births in a public health facility delivered by caesarean section (%),12.2,2.8,8.4
Madhya Pradesh,Gwalior,Urban Rural,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",51.4,54.4,52.5
Madhya Pradesh,Gwalior,Urban Rural,Children age 12-23 months who have received BCG (%),100,96,98.5
Madhya Pradesh,Gwalior,Urban Rural,Children age 12-23 months who have received 3 doses of polio vaccine (%),59.9,61,60.3
Madhya Pradesh,Gwalior,Urban Rural,Children age 12-23 months who have received 3 doses of DPT vaccine (%),78,77.9,78
